code,parent,name,name_en,name_it,description,description_en,description_it,income_group
10001,,Africa,Africa,Africa,,,,
298,10001,"Africa, regional","Africa, regional",,,,,
10002,,North of Sahara,North of Sahara,Africa Nord-Sahariana,,,,
130,10002,Algeria,Algeria,Algeria,,,,10019
133,10002,Libya,Libya,Libia,,,,10019
136,10002,Morocco,Morocco,Marocco,,,,10018
139,10002,Tunisia,Tunisia,Tunisia,,,,10019
142,10002,Egypt,Egypt,Egitto,,,,10018
189,10002,"North of Sahara, regional","North of Sahara, regional",,,,,
10003,,South of Sahara,South of Sahara,Africa Sub-Sahariana,,,,
218,10003,South Africa,South Africa,Sud Africa,,,,10019
225,10003,Angola,Angola,Angola,,,,10016
227,10003,Botswana,Botswana,Botswana,,,,10019
228,10003,Burundi,Burundi,Burundi,,,,10016
229,10003,Cameroon,Cameroon,Camerun,,,,10018
230,10003,Cape Verde,Cape Verde,Capo Verde,,,,10018
231,10003,Central African Rep.,Central African Rep.,Rep. Centro Africana,,,,10016
232,10003,Chad,Chad,Ciad,,,,10016
233,10003,Comoros,Comoros,Comore,,,,10016
234,10003,"Congo, Rep.","Congo, Rep.",Rep. del Congo,,,,10018
235,10003,"Congo, Dem. Rep.","Congo, Dem. Rep.",Rep. Democr. del Congo,,,,10016
236,10003,Benin,Benin,Benin,,,,10016
238,10003,Ethiopia,Ethiopia,Etiopia,,,,10016
239,10003,Gabon,Gabon,Gabon,,,,10019
240,10003,Gambia,Gambia,Gambia,,,,10016
241,10003,Ghana,Ghana,Ghana,,,,10018
243,10003,Guinea,Guinea,Guinea,,,,10016
244,10003,Guinea-Bissau,Guinea-Bissau,Guinea Bissau,,,,10016
245,10003,Equatorial Guinea,Equatorial Guinea,Guinea equatoriale,,,,10016
247,10003,Cote d'Ivoire,Cote d'Ivoire,Costa D'Avorio,,,,10018
248,10003,Kenya,Kenya,Kenya,,,,10017
249,10003,Lesotho,Lesotho,Lesotho,,,,10016
251,10003,Liberia,Liberia,Liberia,,,,10016
252,10003,Madagascar,Madagascar,Madagascar,,,,10016
253,10003,Malawi,Malawi,Malawi,,,,10016
255,10003,Mali,Mali,Mali,,,,10016
256,10003,Mauritania,Mauritania,Mauritania,,,,10016
257,10003,Mauritius,Mauritius,Mauritius,,,,10019
258,10003,Mayotte,Mayotte,Mayotte,,,,10025
259,10003,Mozambique,Mozambique,Mozambico,,,,10016
260,10003,Niger,Niger,Niger,,,,10016
261,10003,Nigeria,Nigeria,Nigeria,,,,10018
265,10003,Zimbabwe,Zimbabwe,Zimbabwe,,,,10017
266,10003,Rwanda,Rwanda,Rwanda,,,,10016
268,10003,Sao Tome & Principe,Sao Tome & Principe,Sao Tomè e Principe,,,,10016
269,10003,Senegal,Senegal,Senegal,,,,10016
270,10003,Seychelles,Seychelles,Seychelles,,,,10019
271,10003,Eritrea,Eritrea,Eritrea,,,,10016
272,10003,Sierra Leone,Sierra Leone,Sierra Leone,,,,10016
273,10003,Somalia,Somalia,Somalia,,,,10016
274,10003,Djibouti,Djibouti,Gibuti,,,,10016
275,10003,Namibia,Namibia,Namibia,,,,10019
276,10003,St. Helena,St. Helena,St. Helena,,,,10019
278,10003,Sudan,Sudan,Sudan,,,,10016
279,10003,South Sudan,South Sudan,Sud Sudan,,,,10016
280,10003,Swaziland,Swaziland,Swaziland,,,,10018
282,10003,Tanzania,Tanzania,Tanzania,,,,10016
283,10003,Togo,Togo,Togo,,,,10016
285,10003,Uganda,Uganda,Uganda,,,,10016
287,10003,Burkina Faso,Burkina Faso,Burkina Faso,,,,10016
288,10003,Zambia,Zambia,Zambia,,,,10016
289,10003,"South of Sahara, regional","South of Sahara, regional",,,,,
10004,,America,America,America,,,,
498,10004,"America, regional","America, regional",,,,,
10005,,North & Central America,North & Central America,Nord e Centro America,,,,
328,10005,Bahamas,Bahamas,Bahamas,,,,10025
329,10005,Barbados,Barbados,Barbados,,,,10025
331,10005,Bermuda,Bermuda,Bermuda,,,,10025
336,10005,Costa Rica,Costa Rica,Costa Rica,,,,10019
338,10005,Cuba,Cuba,Cuba,,,,10019
340,10005,Dominican Republic,Dominican Republic,Rep. Dominicana,,,,10019
342,10005,El Salvador,El Salvador,El Salvador,,,,10018
347,10005,Guatemala,Guatemala,Guatemala,,,,10018
349,10005,Haiti,Haiti,Haiti,,,,10016
351,10005,Honduras,Honduras,Honduras,,,,10018
352,10005,Belize,Belize,Belize,,,,10018
354,10005,Jamaica,Jamaica,Giamaica,,,,10019
358,10005,Mexico,Mexico,Messico,,,,10019
361,10005,Netherlands Antilles,Netherlands Antilles,Antille Olandesi,,,,10025
364,10005,Nicaragua,Nicaragua,Nicaragua,,,,10018
366,10005,Panama,Panama,Panama,,,,10019
373,10005,Aruba,Aruba,Aruba,,,,10025
375,10005,Trinidad and Tobago,Trinidad and Tobago,Trinidad e Tobago,,,,10025
376,10005,Anguilla,Anguilla,Anguilla,,,,10019
377,10005,Antigua and Barbuda,Antigua and Barbuda,Antigua e Barbuda,,,,10019
378,10005,Dominica,Dominica,Dominica,,,,10019
380,10005,"West Indies, regional","West Indies, regional",,,,,
381,10005,Grenada,Grenada,Grenada,,,,10019
382,10005,St. Kitts-Nevis,St. Kitts-Nevis,St. Kitts-Nevis,,,,10019
383,10005,St. Lucia,St. Lucia,St. Lucia,,,,10019
384,10005,St.Vincent & Grenadines,St.Vincent & Grenadines,St.Vincent & Grenadines,,,,10019
385,10005,Montserrat,Montserrat,Montserrat,,,,10019
386,10005,Cayman Islands,Cayman Islands,Isole dei Cayman,,,,10025
387,10005,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,,,,10025
388,10005,Virgin Islands (UK),Virgin Islands (UK),Virgin Islands (UK),,,,10025
389,10005,"North & Central America, regional","North & Central America, regional",,,,,
10006,,South America,South America,Sud America,,,,
425,10006,Argentina,Argentina,Argentina,,,,10019
428,10006,Bolivia,Bolivia,Bolivia,,,,10018
431,10006,Brazil,Brazil,Brasile,,,,10019
434,10006,Chile,Chile,Cile,,,,10019
437,10006,Colombia,Colombia,Colombia,,,,10019
440,10006,Ecuador,Ecuador,Ecuador,,,,10019
443,10006,Falkland Islands (Malvinas),Falkland Islands (Malvinas),Isole delle Falkland,,,,10025
446,10006,Guyana,Guyana,Guyana,,,,10018
451,10006,Paraguay,Paraguay,Paraguay,,,,10018
454,10006,Peru,Peru,Perù,,,,10019
457,10006,Suriname,Suriname,Suriname,,,,10019
460,10006,Uruguay,Uruguay,Uruguay,,,,10019
463,10006,Venezuela,Venezuela,Venezuela,,,,10019
489,10006,"South America, regional","South America, regional",,,,,
10007,,Asia,Asia,Asia,,,,
798,10007,"Asia, regional","Asia, regional",,,,,
10008,,Far East Asia,Far East Asia,Sud-est Asiatico ed Estremo Oriente,,,,
725,10008,Brunei,Brunei,Brunei,,,,10025
728,10008,Cambodia,Cambodia,Cambogia,,,,10016
730,10008,China,China,Cina,,,,10019
732,10008,Chinese Taipei,Chinese Taipei,Taiwan,,,,10025
735,10008,"Hong Kong, China","Hong Kong, China",Hong Kong,,,,10025
738,10008,Indonesia,Indonesia,Indonesia,,,,10018
740,10008,"Korea, Dem. Rep.","Korea, Dem. Rep.",Corea del Nord,,,,10017
742,10008,Korea,Korea,Corea del Sud,,,,10025
745,10008,Laos,Laos,Laos,,,,10016
748,10008,Macao,Macao,Macao,,,,10025
751,10008,Malaysia,Malaysia,Malesia,,,,10019
753,10008,Mongolia,Mongolia,Mongolia,,,,10018
755,10008,Philippines,Philippines,Filippine,,,,10018
761,10008,Singapore,Singapore,Singapore,,,,10025
764,10008,Thailand,Thailand,Thailandia,,,,10019
765,10008,Timor-Leste,Timor-Leste,Timor Est,,,,10016
769,10008,Vietnam,Vietnam,Vietnam,,,,10018
789,10008,"Far East Asia, regional","Far East Asia, regional",,,,,
10009,,South & Central Asia,South & Central Asia,Asia Centrale e Meridionale,,,,
610,10009,Armenia,Armenia,Armenia,,,,10018
611,10009,Azerbaijan,Azerbaijan,Azerbaijan,,,,10019
612,10009,Georgia,Georgia,Georgia,,,,10018
613,10009,Kazakhstan,Kazakhstan,Kazakhstan,,,,10019
614,10009,Kyrgyz Republic,Kyrgyz Republic,Kirghizistan,,,,10017
615,10009,Tajikistan,Tajikistan,Tajikistan,,,,10017
616,10009,Turkmenistan,Turkmenistan,Turkmenistan,,,,10018
617,10009,Uzbekistan,Uzbekistan,Uzbekistan,,,,10018
619,10009,"Central Asia, regional","Central Asia, regional",,,,,
625,10009,Afghanistan,Afghanistan,Afghanistan,,,,10016
630,10009,Bhutan,Bhutan,Bhutan,,,,10016
635,10009,Myanmar,Myanmar,Myanmar,,,,10016
640,10009,Sri Lanka,Sri Lanka,Sri Lanka,,,,10018
645,10009,India,India,India,,,,10018
655,10009,Maldives,Maldives,Maldive,,,,10019
660,10009,Nepal,Nepal,Nepal,,,,10016
665,10009,Pakistan,Pakistan,Pakistan,,,,10018
666,10009,Bangladesh,Bangladesh,Bangladesh,,,,10016
679,10009,"South Asia, regional","South Asia, regional",,,,,
689,10009,"South & Central Asia, regional","South & Central Asia, regional",,,,,
10010,,Europe,Europe,Europa,,,,
30,10010,Cyprus,Cyprus,Cipro,,,,10025
35,10010,Gibraltar,Gibraltar,Gilbilterra,,,,10025
45,10010,Malta,Malta,Malta,,,,10025
55,10010,Turkey,Turkey,Turchia,,,,10019
57,10010,Kosovo,Kosovo,Kosovo,,,,10018
61,10010,Slovenia,Slovenia,Slovenia,,,,10025
62,10010,Croatia,Croatia,Croazia,,,,10025
63,10010,Serbia,Serbia,Serbia,,,,10019
64,10010,Bosnia-Herzegovina,Bosnia-Herzegovina,Bosnia ed Erzegovina,,,,10019
65,10010,Montenegro,Montenegro,Montenegro,,,,10019
66,10010,"Macedonia, FYR","Macedonia, FYR",Macedonia,,,,10019
71,10010,Albania,Albania,Albania,,,,10019
85,10010,Ukraine,Ukraine,Ucraina,,,,10018
86,10010,Belarus,Belarus,Bielorussia,,,,10019
88,10010,States Ex-Yugoslavia unspecified,States Ex-Yugoslavia unspecified,Stati dell'Ex-Yugoslavia,,,,
89,10010,"Europe, regional","Europe, regional",,,,,
93,10010,Moldova,Moldova,Moldavia,,,,10018
10011,,Middle East,Middle East,Vicino e Medio Oriente,,,,
530,10011,Bahrain,Bahrain,Bahrain,,,,10025
540,10011,Iran,Iran,Iran,,,,10019
543,10011,Iraq,Iraq,Iraq,,,,10018
546,10011,Israel,Israel,Israele,,,,10025
549,10011,Jordan,Jordan,Giordania,,,,10019
550,10011,West Bank & Gaza Strip,West Bank & Gaza Strip,Palestina,,,,10018
552,10011,Kuwait,Kuwait,Kuwait,,,,10025
555,10011,Lebanon,Lebanon,Libano,,,,10019
558,10011,Oman,Oman,Oman,,,,10025
561,10011,Qatar,Qatar,Qatar,,,,10025
566,10011,Saudi Arabia,Saudi Arabia,Arabia Saudita,,,,10025
573,10011,Syria,Syria,Siria,,,,10018
576,10011,United Arab Emirates,United Arab Emirates,Emirati Arabi,,,,10025
580,10011,Yemen,Yemen,Yemen,,,,10016
589,10011,"Middle East, regional","Middle East, regional",,,,,
10012,,Oceania,Oceania,Oceania,,,,
831,10012,Cook Islands,Cook Islands,Cook Isole,,,,10019
832,10012,Fiji,Fiji,Fiji,,,,10018
836,10012,Kiribati,Kiribati,Kiribati Isole,,,,10016
840,10012,French Polynesia,French Polynesia,Polinesia Francese,,,,10025
845,10012,Nauru,Nauru,Nauru,,,,10019
850,10012,New Caledonia,New Caledonia,Nuova Caledonia,,,,10025
854,10012,Vanuatu,Vanuatu,Vanuatu,,,,10016
856,10012,Niue,Niue,Niue,,,,10019
858,10012,Northern Marianas,Northern Marianas,Marianne del Nord,,,,10025
859,10012,Marshall Islands,Marshall Islands,Marshall Isole,,,,10018
860,10012,"Micronesia, Fed. States","Micronesia, Fed. States",Micronesia,,,,10018
861,10012,Palau,Palau,Palau,,,,10019
862,10012,Papua New Guinea,Papua New Guinea,Papua Nuova Guinea,,,,10018
866,10012,Solomon Islands,Solomon Islands,Solomon Isole,,,,10016
868,10012,Tokelau,Tokelau,Tokelau,,,,10018
870,10012,Tonga,Tonga,Tonga,,,,10018
872,10012,Tuvalu,Tuvalu,Tuvalu Isole,,,,10016
876,10012,Wallis & Futuna,Wallis & Futuna,Wallis & Futuna,,,,10019
880,10012,Samoa,Samoa,Samoa,,,,10016
889,10012,"Oceania, regional","Oceania, regional",,,,,
15006,,Developing Countries unspecified,Developing Countries unspecified,Paesi non specificato,,,,
998,,"Developing countries, unspecified","Developing countries, unspecified",Paesi non specificato,,,,